Country,Most recent data as of 2018,Most recent data as of 2018_Footnote
Finland,0.4,"Source: Rapid hiv tests done anonymously and free of charge in Finnish AIDS Council's service points in Helsinki, Tampere, Turku and Oulu during 2013."
France,14,
Gambia,34.4,"Source: Behavioral surveillance, 2018"
Georgia,16.2,"Source: Bio-Behavioral Surveillance Survey in three cities of Georgia - Tbilisi, Batumi, and Kutaisi, conducted through Respondent-Driven Sampling."
Germany,6,
Ghana,18,"Source: Behavioural Surveillance Survey 2017"
Greece,12.7,"Source: EMIS STUDY 2010"
Grenada,1.7,"Source: GrenCHAP"
Guatemala,9,"Source: Encuesta de Medición de prevalencia, comportamiento, actitudes y prácticas en poblaciones de mayor riesgo al VIH-Sida en Guatemala, 2017. TEPHINET, HIVOS, MSAPAS"
Guinea,11.4,"Source: ESCOMB 2017"
Guinea-Bissau,3,"Source: BSS"
Guyana,4.9,"Source: PLACE"
Haiti,12.9,"Source: Surveillance biologique et comportementale utilisant la méthodologie respondent driven sampling (RDS) auprès des hommes ayant des rapports sexuel avec d'autres hommes (HARSAH) Ministère de la Santé Publique et de la Population (MSPP) / Organisation Haitienne de Marketing Social pour la Santé (OHMASS), Haiti 2014"
Honduras,8.4,
Hungary,4.1,
India,2.7,"Source: HIV Sentinel Surveillance 2016-17"
Indonesia,25.8,"Source: Integrated Biological and Behavior Survey"
Ireland,7.8,"Source: MISI Men who have sex with men Internet Survey 2015"
Italy,9.6,
Jamaica,29.8,"Source: IBBSS with Population Size Estimation among MSM & TG"
Japan,4.8,"Source: Nationwide cross-sectional Internet survey in 2015"
Jordan,0.2,"Source: Data source: Integrated Biological and Behavioral Survey-2013 - preliminary analysis of priority variables."
Kazakhstan,6.2,"Source: Интегрированное Био-Поведенческое Исследование (ИБПИ)"
Kenya,18.2,"Source: Integrated Biological and Behavior Survey in Nairobi - 2010"
Kyrgyzstan,6.6,
Lao People's Democratic Republic,2.8,
Latvia,7.8,"Source: Internet based study carried out within EMIS project"
Lebanon,12,"Source: Behavioral surveillance, 2018"
Lesotho,32.9,"Source: IBBSS"
Liberia,19.8,
Libya,3.1,
Lithuania,4.7,"Source: ECDC 2017"
Madagascar,14.9,"Source: Enquête de surveillance biologique et comportementale 2014, utilisant la méthodologie RDS pour le recrutement des HSH Le traitement des données a été fait sous RDSAT II"
Malawi,7,"Source: PLACE study"
Malaysia,21.6,"Source: Behavioural Surveillance Survey 2017"
Mali,13.7,"Source: Rapport Étude bio-comportementale sur les hommes qui ont des rapports sexuels avec d'autres hommes à Bamako  Mali, 2014-15"
Mauritania,53.6,"Source: Rapport réseau PVVIH et groupes à haut risque 2013"
Mauritius,17.2,"Source: IBBS 2015 MSM"
Mexico,12.6,"Source: National programme data, 2018. Cifras actualizadas al 12 de marzo del 2019 con base en el trabajo publicado en: https://www.gob.mx/cms/uploads/attachment/file/442533/2018_3_Detecci_n_v4.pdf"
Mongolia,9.2,"Source: HIV/STI Surveillance Survey,2017"
Montenegro,12.5,"Source: Bio-behavioural survey (Snowball sampling method)"
Morocco,5.9,"Source: Étude bio-comportementale intégrée RDS (Échantillonnage conduit par les répondants), 2017"
Myanmar,6.4,"Source: HIV Sero Sentinel Surveillance, 2018"
Nepal,5,"Source: Integrated Biological and Behavioural Surveillance (IBBS) Survey"
Netherlands,15,
New Zealand,6.5,
Nicaragua,8.6,
Niger,11.5,
Nigeria,23,
Pakistan,3.7,
Panama,6.7,"Source: Cinco de  las Seis Clínicas Amigables (CLAM) donde se llevan a cabo la Vigilancia Centinela de las ITS (VICITS)"
Paraguay,20.7,"Source: Prevalencia de VIH Sífilis Hepatitis B, conocimientos, prácticas de riesgo y actitudes de hombres que tienen sexo con hombres (HSH) en Asunción, Central y Alto Paraná, Amambay y Caaguazú. 2017"
Peru,3,"Source: Hoja de Monitorización de Actividades - Dirección de Prevención y Control de ITS, VIH-SIDA y Hepatitis"
Philippines,4.9,"Source: 2015 Integrated HIV Behavioral and Serologic Surveillance"
Poland,7.2,
Portugal,5.9,"Source: Lisbon MSM Cohort"
Republic of Korea,3,
Republic of Moldova,9,
Romania,18.2,"Source: SIALON II"
Rwanda,4,
Saint Kitts and Nevis,1.3,
Samoa,0.5,"Source: Outreach Registers from all NGO's and the Ministry of Health's HIV/STI outreach programmes"
Sao Tome and Principe,3.2,"Source: Behavioral surveillance, 2018"
Senegal,27.6,"Source: Behavioral surveillance, 2018"
Serbia,8.3,"Source: IBBS survey"
Seychelles,13.2,
Sierra Leone,14,"Source: HIV Sero - Prevalence Study for Key Populations, May 2015"
Singapore,2.2,"Source: AfA seropositivity project at MSM venues"
Slovenia,5.8,"Source: ECDC 2017"
South Africa,18.1,"Source: Population-based cross-sectional survey of households in South Africa"
Spain,11.3,"Source: Estudio EPI-VIH. Vigilancia centinela del VIH realizada en 15 centros de VIH/ITS repartidos por las principales ciudades españolas."
Sri Lanka,0.2,"Source: Behavioral surveillance, 2018"
Sudan,1.2,"Source: Sentinel surveillance, 2018"
Suriname,16.6,"Source: Behavioral surveillance, 2018"
Swaziland,12.6,"Source: Characterizing the HIV Prevention and Treatment Needs among Key Populations, including Men who Have Sex with Men and Female Sex Workers in Swaziland:From Evidence to Action"
Sweden,2,"Source: Case reporting"
Switzerland,15.5,"Source:  Gaysurvey 2014"
Tajikistan,2.3,"Source: Sentinel surveillance 2017"
Thailand,11.9,"Source: Integrated Biological Behavior Surveillance (IBBS) 2018"
The former Yugoslav Republic of Macedonia,5.4,"Source: Respondent-Driven Sampling among MSM in the capital city, latest study in 2017."
Timor-Leste,1.3,
Togo,22,"Source: Étude transversale chez les HSH au Togo"
Trinidad and Tobago,26.6,"Source: National Biological and Behavioural Surveillance Survey (BBSS) conducted by the Ministry of Health among Men who have Sex with Men (MSM) in Trinidad and Tobago"
Tunisia,9.1,
Uganda,13.2,"Source: Used Crane study"
Ukraine,7.5,"Source: National Integrated Bio-Behavioral Survey"
United Kingdom,7.7,
United Republic of Tanzania,8.4,"Source: IBBS"
United States,14.5,"Source: Numerator: HIV prevalence was estimated from cumulative HIV incidence using an extended back-calculation model (using both HIV and AIDS data, the time of first diagnosis with HIV, and disease severity at diagnosis) and estimated cumulative deaths.  The data can be accessed at: http://www.cdc.gov/hiv/pdf/surveillance_Report_vol_19_no_3.pdf.  Denominator: The estimated MSM population was derived from seven nationally representative surveys that provide data on same-sex behavior.  Data were pooled for three recall periods and combined using meta-analytic procedures.  The proportion of men reporting same sex behavior in the past five years was applied to U.S. census data to produce a population size estimate.  A report describing these data can be found at: Purcell DW, Johnson C, Lansky A, Prejean J. Stein R, Denning P, Gaul Z, Weinstock H, Su J, Crepaz, N.  Estimating the population size of men who have sex with men in the United States to obtain HIV and syphilis rates.  Open AIDS Journal 2012; 6(Suppl 1:M6):98-107."
Uruguay,8.5,"Source: Encuesta online realizada entre varones gay y HSH en el período agosto-setiembre 2018"
Uzbekistan,3.7,"Source: Sentinel surveillance, 2018"
Viet Nam,10.8,"Source: HSS 2018"
Yemen,5.9,
Zimbabwe,31,"Source: Program data 2017"
